Time_Hour,Instrument_Code,Open,High,Low,Close,VWAP,TWAP,NumberOfTrades,Volume,Turnover,MinTimeHour,MaxTimeHour,Avg_Bid_Ask_Spread
2018-02-19 13:00:00+00:00,ABC,53.84545455,53.86363636,53.72727273,53.84545455,53.80941727,53.80799,955,55855.72727,363663611.5,2020-02-17 13:00:32.137667+00:00,2020-02-17 13:59:56.346636+00:00,0.010590909
2018-02-19 14:00:00+00:00,ABC,53.83636364,53.85909091,53.74545455,53.76363636,53.79427273,53.79466545,1277,81368.54545,529640431.7,2020-02-17 14:00:05.574183+00:00,2020-02-17 14:59:58.067550+00:00,0.010278182
2018-02-19 15:00:00+00:00,ABC,53.75454545,53.80909091,53.64545455,53.8,53.72546182,53.72438091,1615,107549.4545,699141373.6,2020-02-17 15:00:05.923206+00:00,2020-02-17 15:59:51.452952+00:00,0.009997273
2018-02-19 16:00:00+00:00,ABC,53.79545455,53.93636364,53.7,53.83557636,53.75398091,53.86208182,1559,724104.2727,4719213362,2020-02-17 16:00:03.352841+00:00,2020-02-17 16:56:30.565716+00:00,-0.340522727
2018-02-20 08:00:00+00:00,ABC,51.81818182,52.14545455,50.71818182,51.26363636,51.39046091,51.34895545,10704,1337649.273,8311114012,2020-02-18 08:00:00.393963+00:00,2020-02-18 08:59:56.180989+00:00,-0.033799091
2018-02-20 09:00:00+00:00,ABC,51.26363636,51.26363636,50.32727273,50.38636364,50.69064636,50.68133364,6001,425251.7273,2607831279,2020-02-18 09:00:00.121298+00:00,2020-02-18 09:59:59.810229+00:00,0.017079091
2018-02-20 10:00:00+00:00,ABC,50.4,50.68181818,50.2,50.49049091,50.41411182,50.39989182,4803,403728,2462089553,2020-02-18 10:00:00.286442+00:00,2020-02-18 10:59:59.995121+00:00,0.018176364
2018-02-20 11:00:00+00:00,ABC,50.49090909,50.56363636,50.13636364,50.16363636,50.35721182,50.35022909,3139,256458.7273,1562443431,2020-02-18 11:00:14.324105+00:00,2020-02-18 11:59:59.945151+00:00,0.016616364
2018-02-20 12:00:00+00:00,ABC,50.15454545,51.81818182,49.95454545,50.39090909,50.62282455,50.16514909,2798,289173.5455,1755278522,2020-02-18 12:00:00.069468+00:00,2020-02-18 12:59:56.317912+00:00,-0.01265
2018-02-20 13:00:00+00:00,ABC,50.3905,50.61818182,50.28181818,50.60867273,50.41621545,50.41780273,2363,188031,1147093289,2020-02-18 13:00:02.330286+00:00,2020-02-18 13:59:51.431053+00:00,0.015585455
2018-02-20 14:00:00+00:00,ABC,50.6,67.36363636,50.38181818,50.41818182,56.55563909,50.54094091,3668,467699.1818,2860192769,2020-02-18 14:00:01.879232+00:00,2020-02-18 14:59:59.576215+00:00,0.015773636
2018-02-20 15:00:00+00:00,ABC,50.40909091,51.81818182,50.27272727,50.28181818,50.65349455,50.37004,4114,404553.9091,2465664974,2020-02-18 15:00:00.196336+00:00,2020-02-18 15:59:58.381528+00:00,0.012830909
2018-02-20 16:00:00+00:00,ABC,50.28181818,51.78181818,50.15454545,51.78181818,50.19216,50.27121727,2599,1683819.727,10242367723,2020-02-18 16:00:10.933125+00:00,2020-02-18 16:59:06.939517+00:00,-0.40353
2018-02-20 17:00:00+00:00,ABC,51.34084,51.34084,50.63303273,50.63303273,51.2726,51.22180727,6,32038.54545,198569735.7,2020-02-18 17:13:28.227215+00:00,2020-02-18 17:13:54.578638+00:00,0.811110909
2018-02-21 08:00:00+00:00,ABC,51.13636364,51.65454545,51.02727273,51.31818182,51.20687636,51.21005545,7141,838796.4545,5197532413,2020-02-19 08:00:12.878596+00:00,2020-02-19 08:59:49.559941+00:00,-0.111064545
2018-02-21 09:00:00+00:00,ABC,51.31818182,51.61818182,51.20909091,51.26363636,51.40418091,51.40131273,3205,287818.7273,1790105509,2020-02-19 09:00:00.178680+00:00,2020-02-19 09:59:54.836255+00:00,0.013984545
2018-02-21 10:00:00+00:00,ABC,51.26363636,51.3,50.96363636,51.02727273,51.16655727,51.1749,2226,214508.1818,1328269595,2020-02-19 10:00:02.195472+00:00,2020-02-19 10:59:56.160685+00:00,0.011498182
2018-02-21 11:00:00+00:00,ABC,51.02727273,51.22727273,50.86363636,51.20909091,51.01859,51.00473818,3712,413116.2727,2549577376,2020-02-19 11:00:03.412504+00:00,2020-02-19 11:59:58.069988+00:00,0.01317
2018-02-21 12:00:00+00:00,ABC,51.23636364,51.23636364,50.88181818,50.92683636,50.99614818,51.00422,1578,124943.7273,771091545.3,2020-02-19 12:02:17.838394+00:00,2020-02-19 12:59:51.358073+00:00,-0.002007273
2018-02-21 13:00:00+00:00,ABC,50.90909091,51.01818182,50.8,50.96376364,50.91224727,50.89959364,1903,211230.7273,1300938539,2020-02-19 13:00:03.463163+00:00,2020-02-19 13:59:56.835346+00:00,0.012334545
2018-02-21 14:00:00+00:00,ABC,50.95454545,51.1,50.9,51.02727273,51.02635,51.02464182,2727,232690.3636,1436626029,2020-02-19 14:00:01.399803+00:00,2020-02-19 14:59:56.520174+00:00,0.013344545
2018-02-21 15:00:00+00:00,ABC,51.03636364,51.06363636,50.96363636,50.98636364,51.00676818,51.00824273,2487,186393.0909,1150417664,2020-02-19 15:00:00.836563+00:00,2020-02-19 15:59:51.633702+00:00,0.011702727
2018-02-21 16:00:00+00:00,ABC,50.99044545,51.21506364,50.81818182,51.21506364,50.84450636,50.97786364,2254,1742801.091,10750157403,2020-02-19 16:00:00.677474+00:00,2020-02-19 16:41:01.939291+00:00,-0.38366
2018-02-21 17:00:00+00:00,ABC,51.41779182,51.51872636,50.81818182,50.81818182,51.09857,51.25681909,6,58046.27273,360007345.4,2020-02-19 17:12:15.877859+00:00,2020-02-19 17:21:50.617269+00:00,0.779798182
2018-02-22 08:00:00+00:00,ABC,51.36363636,51.45,50.9,51.06363636,51.18454818,51.16287455,4149,412082.1818,2551080401,2020-02-20 08:00:26.416886+00:00,2020-02-20 08:59:58.217443+00:00,-0.132403636
2018-02-22 09:00:00+00:00,ABC,51.06363636,51.20454545,50.99454545,51.10909091,51.08468727,51.08977545,1947,171997.6364,1063265796,2020-02-20 09:00:00.201469+00:00,2020-02-20 09:59:56.210197+00:00,0.010862727
2018-02-22 10:00:00+00:00,ABC,51.11818182,51.17272727,51.03636364,51.12727273,51.10253818,51.09531273,1104,70025.72727,432936361.2,2020-02-20 10:00:03.914506+00:00,2020-02-20 10:59:55.074854+00:00,0.01051
2018-02-22 11:00:00+00:00,ABC,51.12727273,51.16363636,50.88181818,50.89090909,51.04479727,51.03493909,1704,133485.7273,824304749,2020-02-20 11:00:03.759222+00:00,2020-02-20 11:59:53.523635+00:00,0.010706364
2018-02-22 12:00:00+00:00,ABC,50.89090909,50.99090909,50.86363636,50.90909091,50.92151273,50.92237091,930,71376.45455,439793652.2,2020-02-20 12:00:00.047725+00:00,2020-02-20 12:59:58.732441+00:00,-0.011402727
2018-02-22 13:00:00+00:00,ABC,50.90909091,50.90931818,50.7,50.8,50.79751273,50.79537182,1384,98277.72727,604038492.7,2020-02-20 13:00:00.703839+00:00,2020-02-20 13:59:46.662472+00:00,0.011454545
2018-02-22 14:00:00+00:00,ABC,50.8,50.97272727,50.71818182,50.91818182,50.86992636,50.87159727,2219,174788.9091,1075906706,2020-02-20 14:00:03.236940+00:00,2020-02-20 14:59:59.586587+00:00,0.011802727
2018-02-22 15:00:00+00:00,ABC,50.91818182,51.05454545,50.90909091,51.00909091,50.99878091,50.99639,2470,294429.1818,1816793861,2020-02-20 15:00:00.675365+00:00,2020-02-20 15:59:52.884800+00:00,0.011334545
2018-02-22 16:00:00+00:00,ABC,51.00909091,51.18181818,50.88181818,50.88181818,50.94122909,51.08885182,3637,1205076.818,7449484945,2020-02-20 16:00:00.207737+00:00,2020-02-20 16:38:53.076531+00:00,-0.135521818
